Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C22, C23, C24, C25, C26, C27, C28, C29, C9",0402,11,1uf,
"C10, C11, C12, C17, C2, C21, C3, C4, C5, C6, C7, C8",0402,12,100nf,
"C13, C14",0603,2,33pf,
"C15, C16",0603,2,10uf,
"C18, C19",0402,2,4.7uf,
D1,0805,1,C2293,
"D2, D3, D4",SOD-123_L2.8-W1.8-LS3.7-RD,3,MBR0530,
J1,USB-C-SMD_20P-P0.50-L6.5-W8.9,1,C309365,
L1,IND-SMD_L4.0-W4.0_FNR40XXS,1,10uh 1A,
Q1,SOT-23,1,C5122027,
"R1, R4, R5",0402,3,1k,
R10,0402,1,0.47,
R11,0603,1,10k,
R2,0402,1,10k,
R3,0402,1,2.2k,
"R6, R7",0402,2,22,
"R8, R9",0402,2,5.1k,
"SW1, SW2",C720477,2,C720477,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,C2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
U3,FPC-SMD_24P-P0.50_05A20L24P,1,~,
U4,SOT-23,1,XC6206P332MR,
U5,SOT-23-6,1,USBLC6-2SC6,
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,C9002,
