Designator,Mid X,Mid Y,Rotation,Layer
C1,109.95,-59.16,180.0,top
C10,109.6,-62.5,180.0,top
C11,121.37,-60.05,0.0,top
C12,99.0,-65.28,270.0,top
C13,126.7,-63.4,90.0,top
C14,123.255,-66.5,180.0,top
C15,97.175,-60.625,270.0,top
C16,92.325,-62.975,270.0,top
C17,77.89,-66.64,0.0,top
C18,138.75,-75.83,90.0,top
C19,139.13,-83.31,180.0,top
C2,107.01,-62.46,180.0,top
C20,137.06,-67.83,180.0,top
C21,139.0,-70.9,180.0,top
C22,140.3,-74.85,0.0,top
C23,139.6,-69.8,180.0,top
C24,139.6,-68.3,180.0,top
C25,139.11,-67.02,180.0,top
C26,136.675,-66.275,180.0,top
C27,139.14,-65.58,180.0,top
C28,140.3,-75.9,0.0,top
C29,137.7,-69.1,180.0,top
C3,109.95,-58.17,180.0,top
C4,111.94,-67.13,270.0,top
C5,113.48,-67.64,270.0,top
C6,116.47,-57.17,90.0,top
C7,111.9,-57.55,90.0,top
C8,121.34,-61.01,0.0,top
C9,109.94,-60.19,180.0,top
D1,71.07,-77.51,0.0,top
D2,135.06,-72.62,90.0,top
D3,135.99,-76.0,0.0,top
D4,137.03,-72.58,270.0,top
J1,70.47,-68.550001,0.0,top
L1,139.37,-80.44,0.0,top
Q1,132.5,-80.2,90.0,top
R1,82.98,-100.55,90.0,top
R10,133.65,-77.47,180.0,top
R11,135.2,-79.9,90.0,top
R2,84.0,-99.58,90.0,top
R3,73.52,-77.1,90.0,top
R4,124.4,-60.8,180.0,top
R5,147.87,-97.8,270.0,top
R6,106.99,-61.51,0.0,top
R7,106.99,-60.53,0.0,top
R8,70.325,-62.6,180.0,top
R9,70.2,-74.6,180.0,top
SW1,80.03,-100.5,90.0,top
SW2,145.95,-100.79,270.0,top
U1,115.43,-62.34,180.0,top
U2,102.47,-68.39,0.0,top
U3,143.8075,-71.77,90.0,top
U4,94.1,-60.5,0.0,top
U5,77.1275,-68.86,180.0,top
Y1,123.25,-63.55,180.0,top
